,points,projected,bench points,bench projected,top scorer,top bench scorer,double digits,zeroes,opponent,opponent score,opponent projected,line,over/under,favorite,win
1,94.3,99.5,51.7,64.7,9,7.9,5.0,0.0,2.0,103.8,91.3,8.200000000000003,190.8,False,False
2,103.8,91.3,39.2,42.3,5,8.7,6.0,0.0,1.0,94.3,99.5,-8.200000000000003,190.8,True,True
3,126.5,96.1,37.400000000000006,62.1,8,6.5,5.0,0.0,7.0,98.0,94.90000000000002,1.1999999999999744,191.0,False,True
4,107.7,106.5,40.8,45.6,6.4,6.5,5.0,0.0,8.0,87.1,92.19999999999999,14.300000000000011,198.7,False,True
7,98.0,94.90000000000002,33.7,30.2,5,8.8,4.0,0.0,3.0,126.5,96.1,-1.1999999999999744,191.0,True,False
8,87.1,92.19999999999999,54.1,51.099999999999994,8,7,3.0,1.0,4.0,107.7,106.5,-14.300000000000011,198.7,True,False
9,73.5,89.00000000000001,75.89999999999999,52.300000000000004,8.6,8.1,2.0,1.0,10.0,56.0,97.8,-8.799999999999983,186.8,True,True
10,56.0,97.8,51.4,32.0,7,7,2.0,1.0,9.0,73.5,89.00000000000001,8.799999999999983,186.8,False,False
12,72.3,100.80000000000001,42.7,37.9,7.9,3.5,2.0,0.0,14.0,69.19999999999999,97.39999999999999,3.40000000000002,198.2,False,True
13,99.80000000000001,88.30000000000001,14.5,41.0,8,4.8,4.0,0.0,15.0,127.1,101.4,-13.099999999999994,189.70000000000002,True,False
14,69.19999999999999,97.39999999999999,16.3,25.9,6.2,2.7,3.0,0.0,12.0,72.3,100.80000000000001,-3.40000000000002,198.2,True,False
15,127.1,101.4,48.9,31.399999999999995,9.8,8.1,6.0,1.0,13.0,99.80000000000001,88.30000000000001,13.099999999999994,189.70000000000002,False,True
