,points,projected,bench points,bench projected,top scorer,top bench scorer,double digits,zeroes,opponent,opponent score,opponent projected,line,over/under,favorite,win
1,104.19999999999999,105.40000000000002,33.900000000000006,40.9,9.4,9.4,5.0,0.0,15.0,89.0,90.7,14.700000000000017,196.10000000000002,False,True
2,89.0,92.9,25.2,30.1,9,4,3.0,0.0,14.0,56.4,84.5,8.400000000000006,177.4,False,True
3,118.1,102.00000000000003,71.5,49.0,7,8.2,4.0,0.0,13.0,99.10000000000001,103.6,-1.599999999999966,205.60000000000002,True,True
4,72.8,101.8,41.9,46.7,4.8,5.4,5.0,1.0,12.0,115.4,100.8,1.0,202.6,False,False
7,69.9,94.39999999999999,96.0,47.6,6,9.7,3.0,2.0,10.0,56.50000000000001,101.2,-6.800000000000011,195.6,True,True
8,143.6,98.7,43.0,44.199999999999996,9.7,3.5,6.0,0.0,9.0,66.7,97.5,1.2000000000000028,196.2,False,True
9,66.7,97.5,52.3,54.599999999999994,7.1,8.6,2.0,0.0,8.0,143.6,98.7,-1.2000000000000028,196.2,True,False
10,56.50000000000001,101.2,45.9,38.6,9.6,22.8,1.0,0.0,7.0,69.9,94.39999999999999,6.800000000000011,195.6,False,False
12,115.4,100.8,25.1,44.3,9.4,7.4,4.0,0.0,4.0,72.8,101.8,-1.0,202.6,True,True
13,99.10000000000001,103.6,72.30000000000001,49.6,8.8,9.5,4.0,0.0,3.0,118.1,102.00000000000003,1.599999999999966,205.60000000000002,False,False
14,56.4,84.5,9.1,23.9,9.8,6.6,2.0,0.0,2.0,89.0,92.9,-8.400000000000006,177.4,True,False
15,89.0,90.7,5.1000000000000005,11.9,9,4.9,4.0,0.0,1.0,104.19999999999999,105.40000000000002,-14.700000000000017,196.10000000000002,True,False
