,points,projected,bench points,bench projected,top scorer,top bench scorer,double digits,zeroes,opponent,opponent score,opponent projected,line,over/under,favorite,win
1,136.60000000000002,101.30000000000001,42.7,48.6,5.9,4.2,5.0,1.0,4.0,100.89999999999999,92.6,8.700000000000017,193.9,False,True
2,115.9,98.7,20.2,22.5,9,7.7,7.0,0.0,7.0,87.6,91.19999999999999,7.500000000000014,189.89999999999998,False,True
3,88.7,102.2,42.1,46.400000000000006,9.6,9.1,4.0,0.0,8.0,92.0,89.6,12.600000000000009,191.8,False,False
4,100.89999999999999,92.6,26.7,28.9,8,23.9,3.0,0.0,1.0,136.60000000000002,101.30000000000001,-8.700000000000017,193.9,True,False
7,87.6,91.19999999999999,22.6,23.6,8.2,7.8,3.0,1.0,2.0,115.9,98.7,-7.500000000000014,189.89999999999998,True,False
8,92.0,89.6,32.300000000000004,47.4,8.2,2,4.0,0.0,3.0,88.7,102.2,-12.600000000000009,191.8,True,True
9,76.3,98.2,51.69999999999999,57.2,9.9,5.6,4.0,0.0,13.0,125.9,102.4,-4.200000000000003,200.60000000000002,True,False
10,100.5,93.8,12.6,20.0,7,7.6,5.0,0.0,14.0,75.8,83.80000000000001,9.999999999999986,177.60000000000002,False,True
12,70.1,101.3,9.5,27.799999999999997,7,3,4.0,0.0,15.0,86.4,97.39999999999999,3.9000000000000057,198.7,False,False
13,125.9,102.4,48.8,46.2,5,8.2,7.0,0.0,9.0,76.3,98.2,4.200000000000003,200.60000000000002,False,True
14,75.8,83.80000000000001,36.9,29.3,9.2,6.9,3.0,0.0,10.0,100.5,93.8,-9.999999999999986,177.60000000000002,True,False
15,86.4,97.39999999999999,10.9,19.4,7.4,4.2,5.0,0.0,12.0,70.1,101.3,-3.9000000000000057,198.7,True,True
