,points,projected,bench points,bench projected,top scorer,top bench scorer,double digits,zeroes,opponent,opponent score,opponent projected,line,over/under,favorite,win
1,104.9,87.9,32.3,33.8,7.9,7.5,3.0,0.0,10.0,115.2,97.5,-9.59999999999998,185.4,True,False
2,66.9,85.5,49.8,34.6,9.0,9.4,4.0,0.0,12.0,132.60000000000002,99.5,-13.999999999999984,185.0,True,False
3,99.8,88.30000000000004,14.5,41.0,8.0,4.8,4.0,0.0,15.0,127.1,101.4,-13.099999999999996,189.7,True,False
4,125.9,102.4,48.8,46.2,5.0,8.2,7.0,0.0,9.0,76.3,98.2,4.200000000000003,200.6,False,True
5,140.9,105.8,47.4,32.8,5.0,7.5,7.0,0.0,14.0,76.4,74.3,31.5,180.1,False,True
6,99.1,103.6,72.30000000000003,49.6,8.8,9.5,4.0,0.0,3.0,118.1,102.00000000000004,1.5999999999999657,205.6,False,False
7,96.1,99.4,47.4,53.0,5.0,5.1,5.0,0.0,1.0,138.9,102.1,-2.700000000000003,201.5,True,False
8,68.4,81.7,38.9,37.7,7.9,3.5,3.0,1.0,2.0,121.69999999999999,98.5,-16.799999999999997,180.2,True,False
