,points,projected,bench points,bench projected,top scorer,top bench scorer,double digits,zeroes,opponent,opponent score,opponent projected,line,over/under,favorite,win
1,119.79999999999998,97.5,36.8,36.99999999999999,7.3,9.9,5.0,0.0,9.0,79.7,93.29999999999998,4.200000000000017,190.8,False,True
2,132.60000000000002,99.5,36.9,38.0,8.6,7.9,6.0,0.0,13.0,66.9,85.5,13.999999999999984,185.0,False,True
3,72.3,100.8,42.7,37.9,7.9,3.5,2.0,0.0,14.0,69.19999999999999,97.4,3.4000000000000203,198.2,False,True
4,70.1,101.3,9.5,27.8,7.0,3.0,4.0,0.0,15.0,86.4,97.4,3.9000000000000057,198.7,False,False
5,96.1,99.20000000000002,25.5,23.3,6.5,5.9,5.0,0.0,10.0,100.8,92.0,7.200000000000018,191.2,False,False
6,115.4,100.8,25.1,44.3,9.4,7.4,4.0,0.0,4.0,72.8,101.8,-1.0,202.6,True,True
7,70.0,92.7,52.3,48.2,8.0,6.3,3.0,0.0,3.0,107.9,86.99999999999999,5.700000000000002,179.7,False,False
8,83.1,89.6,29.6,44.0,7.1,4.2,5.0,0.0,7.0,84.9,93.39999999999998,-3.799999999999983,182.99999999999997,True,False
