,points,projected,bench points,bench projected,top scorer,top bench scorer,double digits,zeroes,opponent,opponent score,opponent projected,line,over/under,favorite,win
1,116.0,99.9,18.7,29.9,9.6,8.0,4.0,0.0,15.0,104.4,93.6,6.299999999999998,193.5,False,True
2,101.7,93.8,46.9,32.1,7.6,9.9,5.0,0.0,9.0,118.6,97.1,-3.300000000000012,190.9,True,False
3,69.19999999999999,97.4,16.3,25.9,6.2,2.7,3.0,0.0,12.0,72.3,100.8,-3.4000000000000203,198.2,True,False
4,75.8,83.80000000000003,36.9,29.3,9.2,6.9,3.0,0.0,10.0,100.5,93.8,-9.999999999999988,177.60000000000005,True,False
5,76.4,74.3,11.7,8.8,7.0,11.7,3.0,2.0,13.0,140.9,105.8,-31.5,180.1,True,False
6,56.4,84.5,9.1,23.9,9.8,6.6,2.0,0.0,2.0,89.0,92.9,-8.400000000000006,177.4,True,False
7,49.0,83.20000000000002,12.6,26.9,7.0,5.4,2.0,1.0,7.0,106.2,105.1,-21.899999999999977,188.3,True,False
8,96.9,79.10000000000001,34.8,29.8,9.7,4,2.0,1.0,8.0,77.2,77.3,1.8000000000000114,156.4,False,True
