,points,projected,bench points,bench projected,top scorer,top bench scorer,double digits,zeroes,opponent,opponent score,opponent projected,line,over/under,favorite,win
1,106.3,99.8,40.5,47.8,9.7,6.1,5.0,1.0,1.0,81.9,95.9,3.9000000000000057,195.7,False,True
2,88.4,103.5,55.0,49.8,9.0,6.8,4.0,0.0,4.0,127.3,94.1,9.400000000000006,197.6,False,False
3,126.5,96.1,37.40000000000001,62.1,8.0,6.5,5.0,0.0,7.0,98.0,94.90000000000002,1.1999999999999744,191.0,False,True
4,88.7,102.2,42.1,46.40000000000001,9.6,9.1,4.0,0.0,8.0,92.0,89.6,12.600000000000007,191.8,False,False
5,91.7,97.5,16.0,32.90000000000001,9.7,5.9,3.0,0.0,2.0,68.69999999999999,86.1,11.40000000000002,183.6,False,True
6,118.1,102.00000000000004,71.5,49.0,7.0,8.2,4.0,0.0,13.0,99.1,103.6,-1.5999999999999657,205.6,True,True
7,107.9,86.99999999999999,75.7,58.6,8.0,6.5,4.0,0.0,12.0,70.0,92.7,-5.700000000000002,179.7,True,True
8,68.30000000000001,97.39999999999999,38.300000000000004,40.1,8.8,7.4,3.0,0.0,15.0,94.5,91.6,5.799999999999997,189.0,False,False
