,points,projected,bench points,bench projected,top scorer,top bench scorer,double digits,zeroes,opponent,opponent score,opponent projected,line,over/under,favorite,win
1,114.9,101.0,48.4,49.9,7.8,6.9,4.0,0.0,7.0,96.5,102.8,-1.8000000000000256,203.8,True,True
2,73.19999999999997,95.50000000000004,85.7,60.2,9.0,5.8,3.0,0.0,2.0,98.8,97.7,-2.1999999999999744,193.20000000000005,True,False
3,87.1,92.2,54.1,51.1,8.0,7.0,3.0,1.0,4.0,107.7,106.5,-14.300000000000011,198.7,True,False
4,92.0,89.6,32.300000000000004,47.4,8.2,2.0,4.0,0.0,3.0,88.7,102.2,-12.600000000000007,191.8,True,True
5,66.69999999999999,97.9,12.0,20.4,8.9,7.0,2.0,0.0,1.0,123.6,101.2,-3.299999999999997,199.1,True,False
6,143.6,98.7,43.0,44.2,9.7,3.5,6.0,0.0,9.0,66.7,97.5,1.2000000000000028,196.2,False,True
7,115.3,97.0,24.6,38.1,9.8,20.3,5.0,0.0,10.0,85.0,93.2,3.8000000000000114,190.2,False,True
8,77.2,77.3,40.8,28.7,3.7,9.3,5.0,0.0,14.0,96.9,79.10000000000001,-1.8000000000000114,156.4,True,False
