,points,projected,bench points,bench projected,top scorer,top bench scorer,double digits,zeroes,opponent,opponent score,opponent projected,line,over/under,favorite,win
1,97.1,103.0,44.6,45.6,9.2,5.1,5.0,0.0,2.0,76.5,90.4,12.59999999999998,193.4,False,True
2,127.3,94.1,35.8,50.4,7.1,5.6,6.0,0.0,3.0,88.4,103.5,-9.400000000000006,197.6,True,True
3,107.7,106.5,40.8,45.6,6.4,6.5,5.0,0.0,8.0,87.1,92.2,14.300000000000011,198.7,False,True
4,100.9,92.6,26.7,28.9,8.0,23.9,3.0,0.0,1.0,136.60000000000002,101.3,-8.700000000000017,193.9,True,False
5,102.3,106.3,21.200000000000006,31.6,9.8,8.5,3.0,0.0,7.0,102.5,85.89999999999998,20.400000000000006,192.2,False,False
6,72.8,101.8,41.9,46.7,4.8,5.4,5.0,1.0,12.0,115.4,100.8,1.0,202.6,False,False
7,92.2,96.9,34.099999999999994,37.90000000000001,25.4,8.7,5.0,0.0,15.0,101.7,98.8,-1.90000000000002,195.7,True,False
8,109.30000000000001,102.29999999999998,25.5,32.3,4,9.2,6.0,0.0,9.0,96.8,95.50000000000001,6.799999999999969,197.8,False,True
