,points,projected,bench points,bench projected,top scorer,top bench scorer,double digits,zeroes,opponent,opponent score,opponent projected,line,over/under,favorite,win
1,79.7,93.29999999999998,98.8,61.3,9.1,9.4,3.0,0.0,12.0,119.79999999999998,97.5,-4.200000000000017,190.8,True,False
2,118.6,97.1,52.2,64.7,9.0,9.3,5.0,0.0,14.0,101.7,93.8,3.300000000000012,190.9,False,True
3,73.5,89.00000000000001,75.89999999999998,52.3,8.6,8.1,2.0,1.0,10.0,56.0,97.8,-8.799999999999983,186.8,True,True
4,76.3,98.2,51.69999999999999,57.2,9.9,5.6,4.0,0.0,13.0,125.9,102.4,-4.200000000000003,200.6,True,False
5,102.0,90.5,30.8,34.0,9.0,7.0,5.0,0.0,15.0,107.5,86.9,3.6000000000000085,177.40000000000003,False,False
6,66.7,97.5,52.3,54.6,7.1,8.6,2.0,0.0,8.0,143.6,98.7,-1.2000000000000028,196.2,True,False
7,103.2,91.8,11.6,28.3,8.7,5.0,5.0,0.0,2.0,89.6,102.4,-10.600000000000009,194.2,True,True
8,96.8,95.50000000000001,70.4,57.1,8,7.3,5.0,0.0,4.0,109.30000000000001,102.29999999999998,-6.799999999999969,197.8,True,False
