,points,projected,bench points,bench projected,top scorer,top bench scorer,double digits,zeroes,opponent,opponent score,opponent projected,line,over/under,favorite,win
1,76.5,90.4,41.39999999999999,44.8,8.0,4.4,3.0,0.0,4.0,97.1,103.0,-12.59999999999998,193.4,True,False
2,98.8,97.7,48.9,40.7,9.7,6.4,4.0,0.0,8.0,73.19999999999997,95.50000000000004,2.1999999999999744,193.20000000000005,False,True
3,103.8,91.3,39.2,42.3,5.0,8.7,6.0,0.0,1.0,94.3,99.5,-8.200000000000003,190.8,True,True
4,115.9,98.7,20.2,22.5,9.0,7.7,7.0,0.0,7.0,87.6,91.2,7.500000000000013,189.9,False,True
5,68.69999999999999,86.1,22.9,19.3,9.5,5.4,3.0,0.0,3.0,91.7,97.5,-11.40000000000002,183.6,True,False
6,89.0,92.9,25.2,30.1,9.0,4.0,3.0,0.0,14.0,56.4,84.5,8.400000000000006,177.4,False,True
7,89.6,102.4,15.4,26.1,9.0,5.3,4.0,0.0,9.0,103.2,91.8,10.600000000000009,194.2,False,False
8,121.69999999999999,98.5,56.7,34.099999999999994,9,27.3,5.0,0.0,13.0,68.4,81.7,16.799999999999997,180.2,False,True
