,points,projected,bench points,bench projected,top scorer,top bench scorer,double digits,zeroes,opponent,opponent score,opponent projected,line,over/under,favorite,win
1,81.9,95.9,60.0,53.6,7.8,7.6,4.0,0.0,3.0,106.3,99.8,-3.9000000000000057,195.7,True,False
2,71.4,88.7,77.29999999999998,58.6,7.0,9.9,3.0,0.0,7.0,71.5,96.0,-7.299999999999982,184.7,True,False
3,94.3,99.5,51.7,64.7,9.0,7.9,5.0,0.0,2.0,103.8,91.3,8.200000000000003,190.8,False,False
4,136.60000000000002,101.3,42.7,48.6,5.9,4.2,5.0,1.0,4.0,100.9,92.6,8.700000000000017,193.9,False,True
5,123.6,101.2,50.8,57.7,7.0,9.6,7.0,0.0,8.0,66.69999999999999,97.9,3.299999999999997,199.1,False,True
6,104.2,105.40000000000002,33.90000000000001,40.9,9.4,9.4,5.0,0.0,15.0,89.0,90.7,14.700000000000017,196.1,False,True
7,138.9,102.1,62.7,64.89999999999999,30.1,9.2,7.0,1.0,13.0,96.1,99.4,2.700000000000003,201.5,False,True
8,88.2,104.1,47.8,40.00000000000001,7,3.6,5.0,0.0,10.0,108.8,81.2,22.89999999999999,185.3,False,False
