,points,projected,bench points,bench projected,top scorer,top bench scorer,double digits,zeroes,opponent,opponent score,opponent projected,line,over/under,favorite,win
1,96.5,102.8,39.4,34.2,8.7,4.0,4.0,0.0,8.0,114.9,101.0,1.8000000000000256,203.8,False,False
2,71.5,96.0,23.3,37.8,7.1,6.8,3.0,0.0,1.0,71.4,88.7,7.299999999999982,184.7,False,True
3,98.0,94.90000000000002,33.7,30.2,5.0,8.8,4.0,0.0,3.0,126.5,96.1,-1.1999999999999744,191.0,True,False
4,87.6,91.2,22.6,23.6,8.2,7.8,3.0,1.0,2.0,115.9,98.7,-7.500000000000013,189.9,True,False
5,102.5,85.89999999999998,53.0,36.0,7.3,6.8,4.0,0.0,4.0,102.3,106.3,-20.400000000000006,192.2,True,True
6,69.9,94.4,96.0,47.6,6.0,9.7,3.0,2.0,10.0,56.50000000000001,101.2,-6.800000000000013,195.6,True,True
7,106.2,105.1,46.0,50.7,9.0,8.0,4.0,0.0,14.0,49.0,83.20000000000002,21.899999999999977,188.3,False,True
8,84.9,93.39999999999998,44.3,40.60000000000001,7.8,8.8,4.0,1.0,12.0,83.1,89.6,3.799999999999983,182.99999999999997,False,True
