,points,projected,bench points,bench projected,top scorer,top bench scorer,double digits,zeroes,opponent,opponent score,opponent projected,line,over/under,favorite,win
1,104.4,93.6,25.5,31.2,9.0,7.1,6.0,0.0,14.0,116.0,99.9,-6.299999999999998,193.5,True,False
2,83.3,86.89999999999998,32.6,28.3,5.3,6.7,5.0,0.0,10.0,86.1,98.2,-11.300000000000011,185.1,True,False
3,127.1,101.4,48.9,31.399999999999995,9.8,8.1,6.0,1.0,13.0,99.8,88.30000000000004,13.099999999999996,189.7,False,True
4,86.4,97.4,10.9,19.4,7.4,4.2,5.0,0.0,12.0,70.1,101.3,-3.9000000000000057,198.7,True,True
5,107.5,86.9,3.3,4.0,9.7,3.3,5.0,1.0,9.0,102.0,90.5,-3.6000000000000085,177.40000000000003,True,True
6,89.0,90.7,5.1000000000000005,11.9,9.0,4.9,4.0,0.0,1.0,104.2,105.40000000000002,-14.700000000000017,196.1,True,False
7,101.7,98.8,2.2,5.7,9.4,2.2,5.0,0.0,4.0,92.2,96.9,1.90000000000002,195.7,False,True
8,94.5,91.6,9.5,18.6,7.1,3.3,6.0,0.0,3.0,68.30000000000001,97.39999999999999,-5.799999999999997,189.0,True,True
