,points,projected,bench points,bench projected,top scorer,top bench scorer,double digits,zeroes,opponent,opponent score,opponent projected,line,over/under,favorite,win
1,115.2,97.5,56.4,54.8,9.0,6.5,5.0,0.0,13.0,104.9,87.9,9.59999999999998,185.4,False,True
2,86.1,98.2,36.3,62.99999999999999,9.6,9.1,3.0,0.0,15.0,83.3,86.89999999999998,11.300000000000011,185.1,False,True
3,56.0,97.8,51.4,32.0,7.0,7.0,2.0,1.0,9.0,73.5,89.00000000000001,8.799999999999983,186.8,False,False
4,100.5,93.8,12.6,20.0,7.0,7.6,5.0,0.0,14.0,75.8,83.80000000000003,9.999999999999988,177.60000000000005,False,True
5,100.8,92.0,11.5,18.3,7.7,7.0,4.0,0.0,12.0,96.1,99.20000000000002,-7.200000000000018,191.2,True,True
6,56.50000000000001,101.2,45.9,38.6,9.6,22.8,1.0,0.0,7.0,69.9,94.4,6.800000000000013,195.6,False,False
7,85.0,93.2,6.9,21.6,9.3,3.8,4.0,0.0,8.0,115.3,97.0,-3.8000000000000114,190.2,True,False
8,108.8,81.2,22.1,24.7,6,9.3,4.0,0.0,1.0,88.2,104.1,-22.89999999999999,185.3,True,True
