,points,projected,bench points,bench projected,top scorer,top bench scorer,double digits,zeroes,opponent,opponent score,opponent projected,line,over/under,favorite,win
1,138.9,102.10000000000001,62.699999999999996,64.89999999999999,30.1,9.2,7.0,1.0,13.0,96.10000000000001,99.4,2.700000000000003,201.5,False,True
2,89.6,102.4,15.399999999999999,26.1,9,5.3,4.0,0.0,9.0,103.2,91.8,10.600000000000009,194.2,False,False
3,107.9,86.99999999999999,75.7,58.6,8,6.5,4.0,0.0,12.0,70.0,92.69999999999999,-5.700000000000003,179.7,True,True
4,92.19999999999999,96.89999999999999,34.099999999999994,37.900000000000006,25.4,8.7,5.0,0.0,15.0,101.7,98.80000000000001,-1.90000000000002,195.7,True,False
7,106.19999999999999,105.1,46.0,50.699999999999996,9,8,4.0,0.0,14.0,49.0,83.20000000000002,21.899999999999977,188.3,False,True
8,115.30000000000001,97.00000000000001,24.6,38.1,9.8,20.3,5.0,0.0,10.0,85.0,93.2,3.8000000000000114,190.20000000000002,False,True
9,103.2,91.8,11.6,28.3,8.7,5,5.0,0.0,2.0,89.6,102.4,-10.600000000000009,194.2,True,True
10,85.0,93.2,6.9,21.6,9.3,3.8,4.0,0.0,8.0,115.30000000000001,97.00000000000001,-3.8000000000000114,190.20000000000002,True,False
12,70.0,92.69999999999999,52.300000000000004,48.199999999999996,8,6.3,3.0,0.0,3.0,107.9,86.99999999999999,5.700000000000003,179.7,False,False
13,96.10000000000001,99.4,47.4,53.0,5,5.1,5.0,0.0,1.0,138.9,102.10000000000001,-2.700000000000003,201.5,True,False
14,49.0,83.20000000000002,12.600000000000001,26.9,7,5.4,2.0,1.0,7.0,106.19999999999999,105.1,-21.899999999999977,188.3,True,False
15,101.7,98.80000000000001,2.2,5.7,9.4,2.2,5.0,0.0,4.0,92.19999999999999,96.89999999999999,1.90000000000002,195.7,False,True
