,points,projected,bench points,bench projected,top scorer,top bench scorer,double digits,zeroes,opponent,opponent score,opponent projected,line,over/under,favorite,win
1,71.4,88.7,77.29999999999998,58.599999999999994,7,9.9,3.0,0.0,7.0,71.5,95.99999999999999,-7.299999999999983,184.7,True,False
2,98.8,97.7,48.9,40.699999999999996,9.7,6.4,4.0,0.0,8.0,73.19999999999999,95.50000000000003,2.1999999999999744,193.20000000000005,False,True
3,88.4,103.50000000000001,55.0,49.8,9,6.8,4.0,0.0,4.0,127.3,94.10000000000001,9.400000000000006,197.60000000000002,False,False
4,127.3,94.10000000000001,35.8,50.4,7.1,5.6,6.0,0.0,3.0,88.4,103.50000000000001,-9.400000000000006,197.60000000000002,True,True
7,71.5,95.99999999999999,23.3,37.8,7.1,6.8,3.0,0.0,1.0,71.4,88.7,7.299999999999983,184.7,False,True
8,73.19999999999999,95.50000000000003,85.7,60.2,9,5.8,3.0,0.0,2.0,98.8,97.7,-2.1999999999999744,193.20000000000005,True,False
9,118.60000000000001,97.10000000000001,52.2,64.7,9,9.3,5.0,0.0,14.0,101.7,93.8,3.3000000000000114,190.9,False,True
10,86.1,98.2,36.300000000000004,62.999999999999986,9.6,9.1,3.0,0.0,15.0,83.3,86.89999999999999,11.300000000000011,185.1,False,True
12,132.60000000000002,99.49999999999999,36.9,38.0,8.6,7.9,6.0,0.0,13.0,66.9,85.5,13.999999999999986,185.0,False,True
13,66.9,85.5,49.8,34.6,9,9.4,4.0,0.0,12.0,132.60000000000002,99.49999999999999,-13.999999999999986,185.0,True,False
14,101.7,93.8,46.9,32.1,7.6,9.9,5.0,0.0,9.0,118.60000000000001,97.10000000000001,-3.3000000000000114,190.9,True,False
15,83.3,86.89999999999999,32.6,28.299999999999997,5.3,6.7,5.0,0.0,10.0,86.1,98.2,-11.300000000000011,185.1,True,False
