,points,projected,bench points,bench projected,top scorer,top bench scorer,double digits,zeroes,opponent,opponent score,opponent projected,line,over/under,favorite,win
1,88.2,104.1,47.8,40.00000000000001,7,3.6,5.0,0.0,10.0,108.8,81.2,22.89999999999999,185.3,False,False
2,121.69999999999999,98.5,56.7,34.099999999999994,9,27.3,5.0,0.0,13.0,68.4,81.7,16.799999999999997,180.2,False,True
3,68.30000000000001,97.39999999999999,38.300000000000004,40.1,8.8,7.4,3.0,0.0,15.0,94.5,91.6,5.799999999999997,189.0,False,False
4,109.30000000000001,102.29999999999998,25.5,32.3,4,9.2,6.0,0.0,9.0,96.8,95.50000000000001,6.799999999999969,197.8,False,True
7,84.9,93.39999999999998,44.3,40.60000000000001,7.8,8.8,4.0,1.0,12.0,83.1,89.6,3.799999999999983,182.99999999999997,False,True
8,77.2,77.3,40.8,28.7,3.7,9.3,5.0,0.0,14.0,96.9,79.10000000000001,-1.8000000000000114,156.4,True,False
9,96.8,95.50000000000001,70.4,57.1,8,7.3,5.0,0.0,4.0,109.30000000000001,102.29999999999998,-6.799999999999969,197.8,True,False
10,108.8,81.2,22.1,24.7,6,9.3,4.0,0.0,1.0,88.2,104.1,-22.89999999999999,185.3,True,True
12,83.1,89.6,29.6,44.0,7.1,4.2,5.0,0.0,7.0,84.9,93.39999999999998,-3.799999999999983,182.99999999999997,True,False
13,68.4,81.7,38.9,37.7,7.9,3.5,3.0,1.0,2.0,121.69999999999999,98.5,-16.799999999999997,180.2,True,False
14,96.9,79.10000000000001,34.8,29.8,9.7,4,2.0,1.0,8.0,77.2,77.3,1.8000000000000114,156.4,False,True
15,94.5,91.6,9.5,18.6,7.1,3.3,6.0,0.0,3.0,68.30000000000001,97.39999999999999,-5.799999999999997,189.0,True,True
