,points,projected,bench points,bench projected,top scorer,top bench scorer,double digits,zeroes,opponent,opponent score,opponent projected,line,over/under,favorite,win
1,123.6,101.19999999999999,50.800000000000004,57.699999999999996,7,9.6,7.0,0.0,8.0,66.69999999999999,97.89999999999999,3.299999999999997,199.09999999999997,False,True
2,68.69999999999999,86.1,22.9,19.3,9.5,5.4,3.0,0.0,3.0,91.69999999999999,97.50000000000001,-11.40000000000002,183.60000000000002,True,False
3,91.69999999999999,97.50000000000001,16.0,32.900000000000006,9.7,5.9,3.0,0.0,2.0,68.69999999999999,86.1,11.40000000000002,183.60000000000002,False,True
4,102.30000000000001,106.3,21.200000000000003,31.599999999999998,9.8,8.5,3.0,0.0,7.0,102.5,85.89999999999999,20.400000000000006,192.2,False,False
7,102.5,85.89999999999999,53.0,36.0,7.3,6.8,4.0,0.0,4.0,102.30000000000001,106.3,-20.400000000000006,192.2,True,True
8,66.69999999999999,97.89999999999999,12.0,20.4,8.9,7,2.0,0.0,1.0,123.6,101.19999999999999,-3.299999999999997,199.09999999999997,True,False
9,102.0,90.50000000000001,30.799999999999997,34.0,9,7,5.0,0.0,15.0,107.5,86.9,3.6000000000000085,177.40000000000003,False,False
10,100.8,92.0,11.5,18.3,7.7,7,4.0,0.0,12.0,96.1,99.20000000000002,-7.200000000000017,191.20000000000002,True,True
12,96.1,99.20000000000002,25.5,23.299999999999997,6.5,5.9,5.0,0.0,10.0,100.8,92.0,7.200000000000017,191.20000000000002,False,False
13,140.9,105.8,47.4,32.8,5,7.5,7.0,0.0,14.0,76.4,74.3,31.5,180.1,False,True
14,76.4,74.3,11.7,8.8,7,11.7,3.0,2.0,13.0,140.9,105.8,-31.5,180.1,True,False
15,107.5,86.9,3.3,4.0,9.7,3.3,5.0,1.0,9.0,102.0,90.50000000000001,-3.6000000000000085,177.40000000000003,True,True
